Allele;Frequency
HLA-B07:87;0,00000014
HLA-B07:88;0,00000016
HLA-B07:91;0,00000002
HLA-B07:92;0,00000007
HLA-B07:94;0,00000002
HLA-B07:95;0,00000006
HLA-B07:96;0,00000019
HLA-B07:98;0,00000006
HLA-B08:01;0,04544050
HLA-B08:02;0,00001814
HLA-B08:03;0,00001517
HLA-B08:04;0,00001642
HLA-B08:05;0,00001992
HLA-B08:07;0,00000078
HLA-B08:09;0,00001541
HLA-B08:10;0,00000023
HLA-B08:11;0,00000001
HLA-B08:12;0,00001436
HLA-B08:13;0,00000177
HLA-B08:14;0,00000127
HLA-B08:15;0,00000004
HLA-B08:16;0,00000344
HLA-B08:161;0,00000002
HLA-B08:18;0,00000417
HLA-B08:20;0,00000966
HLA-B08:21;0,00000169
HLA-B08:22;0,00000014
HLA-B08:23;0,00000153
HLA-B08:24;0,00000103
HLA-B08:25;0,00000016
HLA-B08:26;0,00000003
HLA-B08:27;0,00000200
HLA-B08:28;0,00000033
HLA-B08:31;0,00000007
HLA-B08:33;0,00001029
HLA-B08:34;0,00001101
HLA-B08:35;0,00000012
HLA-B08:36;0,00000010
HLA-B08:37;0,00000034
HLA-B08:38;0,00000090
HLA-B08:39;0,00000004
HLA-B08:41;0,00000002
HLA-B08:42;0,00000002
HLA-B08:46;0,00000004
HLA-B08:52;0,00000023
HLA-B08:53;0,00000014
HLA-B08:55;0,00000004
HLA-B08:56;0,00000002
HLA-B08:62;0,00000002
HLA-B08:63;0,00000002
HLA-B08:66;0,00000003
HLA-B08:70;0,00000020
HLA-B08:71;0,00000002
HLA-B08:75;0,00000002
HLA-B08:97;0,00000006
HLA-B13:01;0,00977943
HLA-B13:02;0,02542254
HLA-B13:03;0,00001241
HLA-B13:04;0,00000310
HLA-B13:06;0,00000190
HLA-B13:07;0,00001697
HLA-B13:08;0,00000122
HLA-B13:09;0,00000242
HLA-B13:10;0,00000293
HLA-B13:11;0,00000066
HLA-B13:12;0,00000666
HLA-B13:14;0,00000062
HLA-B13:16;0,00000002
HLA-B13:19;0,00000006
HLA-B13:20;0,00000020
HLA-B13:21;0,00000020
HLA-B13:22;0,00000127
HLA-B13:23;0,00000006
HLA-B13:26;0,00002732
HLA-B13:32;0,00000001
HLA-B13:33;0,00000008
HLA-B13:34;0,00000025
HLA-B13:42;0,00000004
HLA-B14:01;0,00436568
HLA-B14:02;0,02700442
HLA-B14:03;0,00024719
HLA-B14:04;0,00002748
HLA-B14:05;0,00001479
HLA-B14:06;0,00002021
HLA-B14:07;0,00000024
HLA-B14:08;0,00000125
HLA-B14:09;0,00000096
HLA-B14:10;0,00000008
HLA-B14:12;0,00000048
HLA-B14:13;0,00001181
HLA-B14:14;0,00000224
HLA-B14:15;0,00000221
HLA-B14:16;0,00000006
HLA-B14:17;0,00000004
HLA-B14:18;0,00006337
HLA-B14:19;0,00000002
HLA-B14:21;0,00000008
HLA-B14:23;0,00000142
HLA-B14:24;0,00000116
HLA-B14:25;0,00001179
HLA-B14:26;0,00000006
HLA-B14:30;0,00000004
HLA-B14:32;0,00000006
HLA-B14:33;0,00000004
HLA-B14:34;0,00000122
HLA-B14:35;0,00000006
HLA-B14:36;0,00000122
HLA-B14:37;0,00000122
HLA-B14:38;0,00000006
HLA-B15:01;0,03446951
HLA-B15:02;0,01263157
HLA-B15:03;0,00826198
HLA-B15:04;0,00018931
HLA-B15:05;0,00048386
HLA-B15:06;0,00029074
HLA-B15:07;0,00098262
HLA-B15:08;0,00065024
HLA-B15:09;0,00027602
HLA-B15:10;0,00372697
HLA-B15:105;0,00000002
HLA-B15:106;0,00000006
HLA-B15:107;0,00000000
HLA-B15:108;0,00000156
HLA-B15:109;0,00000048
HLA-B15:11;0,00189795
HLA-B15:110;0,00000040
HLA-B15:113;0,00000129
HLA-B15:114;0,00000032
HLA-B15:117;0,00000006
HLA-B15:12;0,00077509
HLA-B15:122;0,00000038
HLA-B15:123;0,00000799
HLA-B15:125;0,00000436
HLA-B15:128;0,00000048
HLA-B15:13;0,00101076
HLA-B15:131;0,00000002
HLA-B15:132;0,00000041
HLA-B15:133;0,00000002
HLA-B15:134;0,00000002
HLA-B15:135;0,00000240
HLA-B15:136;0,00000002
HLA-B15:137;0,00000002
HLA-B15:138;0,00000262
HLA-B15:139;0,00000002
HLA-B15:14;0,00000135
HLA-B15:141;0,00000266
HLA-B15:143;0,00000010
HLA-B15:145;0,00000003
HLA-B15:147;0,00000001
HLA-B15:15;0,00061669
HLA-B15:150;0,00005568
HLA-B15:153;0,00000168
HLA-B15:154;0,00000008
HLA-B15:156;0,00000036
HLA-B15:157;0,00000337
HLA-B15:158;0,00000002
HLA-B15:159;0,00000020
HLA-B15:16;0,00225816
HLA-B15:160;0,00000008
HLA-B15:162;0,00000150
HLA-B15:164;0,00000044
HLA-B15:167;0,00000002
HLA-B15:17;0,01100291
HLA-B15:170;0,00000046
HLA-B15:172;0,00000002
HLA-B15:173;0,00000002
HLA-B15:174;0,00000002
HLA-B15:175;0,00000068
HLA-B15:178;0,00000010
HLA-B15:18;0,00376091
HLA-B15:181;0,00000002
HLA-B15:184;0,00000014
HLA-B15:185;0,00000006
HLA-B15:188;0,00000004
HLA-B15:19;0,00000104
HLA-B15:191;0,00000020
HLA-B15:194;0,00000176
HLA-B15:20;0,00002397
HLA-B15:202;0,00000004
HLA-B15:207;0,00000002
HLA-B15:208;0,00000002
HLA-B15:209;0,00000020
HLA-B15:21;0,00168042
HLA-B15:211;0,00000001
HLA-B15:212;0,00000004
HLA-B15:219;0,00000020
HLA-B15:220;0,00000600
HLA-B15:223;0,00000030
HLA-B15:224;0,00000002
HLA-B15:229;0,00000070
HLA-B15:23;0,00001491
HLA-B15:237;0,00000002
HLA-B15:239;0,00000002
HLA-B15:24;0,00019075
HLA-B15:25;0,00232643
HLA-B15:26;0,00000106
HLA-B15:264;0,00000100
HLA-B15:27;0,00097201
HLA-B15:28;0,00001047
HLA-B15:29;0,00039810
HLA-B15:30;0,00022801
HLA-B15:31;0,00010112
HLA-B15:32;0,00021813
HLA-B15:33;0,00004593
HLA-B15:34;0,00001337
HLA-B15:35;0,00189730
HLA-B15:37;0,00005971
HLA-B15:373;0,00000002
HLA-B15:38;0,00004820
HLA-B15:39;0,00010369
HLA-B15:40;0,00011371
HLA-B15:406;0,00000002
HLA-B15:42;0,00000269
HLA-B15:43;0,00000002
HLA-B15:44;0,00000421
HLA-B15:45;0,00000307
HLA-B15:46;0,00002267
HLA-B15:47;0,00002517
HLA-B15:48;0,00001106
HLA-B15:50;0,00000010
HLA-B15:51;0,00000001
HLA-B15:52;0,00001039
HLA-B15:53;0,00000390
HLA-B15:54;0,00001021
HLA-B15:55;0,00000751
HLA-B15:56;0,00000728
HLA-B15:58;0,00004862
HLA-B15:61;0,00000114
HLA-B15:62;0,00000026
HLA-B15:63;0,00000917
HLA-B15:64;0,00000302
HLA-B15:65;0,00000106
HLA-B15:66;0,00000040
HLA-B15:67;0,00001210
HLA-B15:68;0,00000455
HLA-B15:69;0,00000009
HLA-B15:70;0,00000714
HLA-B15:71;0,00001386
HLA-B15:72;0,00002443
HLA-B15:73;0,00000959
HLA-B15:74;0,00000002
HLA-B15:75;0,00000547
HLA-B15:76;0,00000006
HLA-B15:78;0,00000026
HLA-B15:79;0,00000031
HLA-B15:80;0,00001264
HLA-B15:82;0,00000461
HLA-B15:83;0,00000048
HLA-B15:85;0,00000026
HLA-B15:86;0,00000004
HLA-B15:87;0,00000094
HLA-B15:88;0,00000359
HLA-B15:89;0,00000096
HLA-B15:90;0,00000455
HLA-B15:92;0,00000001
HLA-B15:93;0,00000001
HLA-B15:95;0,00000002
HLA-B15:98;0,00000004
HLA-B18:01;0,03991519
HLA-B18:02;0,00052055
HLA-B18:03;0,00027207
HLA-B18:04;0,00003628
HLA-B18:05;0,00006824
HLA-B18:06;0,00001004
HLA-B18:07;0,00001416
HLA-B18:08;0,00000025
HLA-B18:09;0,00000422
HLA-B18:10;0,00000001
HLA-B18:109;0,00000034
HLA-B18:11;0,00000380
HLA-B18:12;0,00000416
HLA-B18:13;0,00000300
HLA-B18:14;0,00000386
HLA-B18:15;0,00000004
HLA-B18:18;0,00000834
HLA-B18:19;0,00000242
HLA-B18:20;0,00000180
HLA-B18:22;0,00000040
HLA-B18:25;0,00000305
HLA-B18:26;0,00000106
HLA-B18:27;0,00000016
HLA-B18:28;0,00000278
HLA-B18:29;0,00000061
HLA-B18:30;0,00000002
HLA-B18:31;0,00000001
HLA-B18:32;0,00000014
HLA-B18:33;0,00000214
HLA-B18:34;0,00000031
HLA-B18:36;0,00000003
HLA-B18:37;0,00000015
HLA-B18:40;0,00000002
HLA-B18:43;0,00000002
HLA-B18:44;0,00000003
HLA-B18:49;0,00000002
HLA-B18:54;0,00000001
HLA-B18:60;0,00000016
HLA-B18:61;0,00000022
HLA-B18:63;0,00000020
HLA-B18:73;0,00000034
HLA-B18:97;0,00000100
HLA-B27:01;0,00000867
HLA-B27:02;0,00517463
HLA-B27:03;0,00049032
HLA-B27:04;0,00232178
HLA-B27:05;0,01594423
HLA-B27:06;0,00102916
HLA-B27:07;0,00102829
HLA-B27:08;0,00002394
HLA-B27:09;0,00003771
HLA-B27:10;0,00000900
HLA-B27:101;0,00000002
HLA-B27:11;0,00000101
HLA-B27:12;0,00006163
HLA-B27:127;0,00000120
HLA-B27:14;0,00005567
HLA-B27:142;0,00000002
HLA-B27:15;0,00000661
HLA-B27:16;0,00000001
HLA-B27:17;0,00000005
HLA-B27:18;0,00000199
HLA-B27:19;0,00000336
HLA-B27:20;0,00000692
HLA-B27:24;0,00000190
HLA-B27:25;0,00000040
HLA-B27:26;0,00000140
HLA-B27:27;0,00000189
HLA-B27:30;0,00000368
HLA-B27:32;0,00000005
HLA-B27:34;0,00000006
HLA-B27:35;0,00000004
HLA-B27:36;0,00000050
HLA-B27:37;0,00000020
HLA-B27:39;0,00000118
HLA-B27:40;0,00000010
HLA-B27:41;0,00000001
HLA-B27:42;0,00000061
HLA-B27:43;0,00000006
HLA-B27:46;0,00000022
HLA-B27:47;0,00000010
HLA-B27:48;0,00000004
HLA-B27:49;0,00000036
HLA-B27:51;0,00000006
HLA-B27:53;0,00000044
HLA-B27:54;0,00000092
HLA-B27:56;0,00000006
HLA-B27:57;0,00000004
HLA-B27:59;0,00000020
HLA-B27:61;0,00000034
HLA-B27:63;0,00000020
HLA-B27:65;0,00000004
HLA-B27:66;0,00000020
HLA-B27:70;0,00000004
HLA-B27:73;0,00000002
HLA-B27:75;0,00000004
HLA-B27:78;0,00000006
HLA-B27:79;0,00000076
HLA-B27:80;0,00000002
HLA-B27:83;0,00000002
HLA-B35:01;0,04919329
HLA-B35:02;0,01170408
HLA-B35:03;0,01540270
HLA-B35:04;0,00028564
HLA-B35:05;0,00463206
HLA-B35:06;0,00007975
HLA-B35:08;0,02568440
HLA-B35:09;0,00001040
HLA-B35:10;0,00003694
HLA-B35:100;0,00000002
HLA-B35:102;0,00000262
HLA-B35:104;0,00000004
HLA-B35:109;0,00000022
HLA-B35:11;0,00006249
HLA-B35:112;0,00000036
HLA-B35:113;0,00000046
HLA-B35:115;0,00000016
HLA-B35:117;0,00000018
HLA-B35:12;0,00158701
HLA-B35:121;0,00000010
HLA-B35:125;0,00000006
HLA-B35:13;0,00000570
HLA-B35:132;0,00000010
HLA-B35:133;0,00000002
HLA-B35:135;0,00000006
HLA-B35:136;0,00000011
HLA-B35:14;0,00015467
HLA-B35:141;0,00000006
HLA-B35:148;0,00000001
HLA-B35:149;0,00000070
HLA-B35:15;0,00000344
HLA-B35:150;0,00000030
HLA-B35:151;0,00000012
HLA-B35:152;0,00000002
HLA-B35:154;0,00000002
HLA-B35:155;0,00000002
HLA-B35:156;0,00000072
HLA-B35:157;0,00000002
HLA-B35:158;0,00000076
HLA-B35:159;0,00000002
HLA-B35:16;0,00002110
HLA-B35:160;0,00000080
HLA-B35:162;0,00000001
HLA-B35:167;0,00000002
HLA-B35:17;0,00051987
HLA-B35:18;0,00000002
HLA-B35:183;0,00000002
HLA-B35:19;0,00000304
HLA-B35:20;0,00019866
HLA-B35:21;0,00003399
HLA-B35:22;0,00003821
HLA-B35:23;0,00002014
HLA-B35:235;0,00000100
HLA-B35:24;0,00001700
HLA-B35:242;0,00000002
HLA-B35:25;0,00000226
HLA-B35:259;0,00000002
HLA-B35:26;0,00000381
HLA-B35:27;0,00001800
HLA-B35:279;0,00000180
HLA-B35:28;0,00002813
HLA-B35:286;0,00000120
HLA-B35:29;0,00000254
HLA-B35:30;0,00006172
HLA-B35:31;0,00005163
HLA-B35:32;0,00001731
HLA-B35:33;0,00000002
HLA-B35:34;0,00001109
HLA-B35:35;0,00000100
HLA-B35:36;0,00004983
HLA-B35:37;0,00000373
HLA-B35:38;0,00000119
HLA-B35:39;0,00000016
HLA-B35:40;0,00000098
HLA-B35:41;0,00000277
HLA-B35:42;0,00001677
HLA-B35:43;0,00106215
HLA-B35:44;0,00000349
HLA-B35:45;0,00000030
HLA-B35:47;0,00000155
HLA-B35:48;0,00000156
HLA-B35:49;0,00001101
HLA-B35:51;0,00000305
HLA-B35:52;0,00000010
HLA-B35:55;0,00000266
HLA-B35:58;0,00000020
HLA-B35:59;0,00000206
HLA-B35:63;0,00000003
HLA-B35:64;0,00000100
HLA-B35:65;0,00000018
HLA-B35:66;0,00000040
HLA-B35:68;0,00000236
HLA-B35:69;0,00000004
HLA-B35:72;0,00000157
HLA-B35:74;0,00000052
HLA-B35:75;0,00000041
HLA-B35:77;0,00000278
HLA-B35:80;0,00000002
HLA-B35:81;0,00000016
HLA-B35:84;0,00000026
HLA-B35:87;0,00000002
HLA-B35:88;0,00000026
HLA-B35:92;0,00000034
HLA-B35:93;0,00000009
HLA-B35:95;0,00000009
HLA-B35:96;0,00000002
HLA-B35:98;0,00000001
HLA-B35:99;0,00000014
HLA-B37:01;0,00983844
HLA-B37:02;0,00021181
HLA-B37:03;0,00003086
HLA-B37:04;0,00001099
HLA-B37:05;0,00000352
HLA-B37:06;0,00000002
HLA-B37:07;0,00000059
HLA-B37:10;0,00000017
HLA-B37:16;0,00000052
HLA-B37:17;0,00000210
HLA-B37:19;0,00000001
HLA-B37:21;0,00000004
HLA-B37:22;0,00000006
HLA-B37:24;0,00000002
HLA-B37:42;0,00000002
HLA-B37:52;0,00000002
HLA-B37:62;0,00000002
HLA-B38:01;0,02953226
HLA-B38:02;0,00873262
HLA-B38:03;0,00000049
HLA-B38:04;0,00000046
HLA-B38:05;0,00000337
HLA-B38:06;0,00001289
HLA-B38:07;0,00000014
HLA-B38:08;0,00000006
HLA-B38:09;0,00005720
HLA-B38:10;0,00000010
HLA-B38:11;0,00000010
HLA-B38:12;0,00000022
HLA-B38:13;0,00000006
HLA-B38:14;0,00000006
HLA-B38:15;0,00000112
HLA-B38:17;0,00000002
HLA-B38:19;0,00000002
HLA-B38:20;0,00000012
HLA-B38:23;0,00000002
HLA-B38:24;0,00000002
HLA-B38:28;0,00000002
HLA-B38:29;0,00000800
HLA-B38:30;0,00000002
HLA-B39:01;0,01144511
HLA-B39:02;0,00045929
HLA-B39:03;0,00006326
HLA-B39:04;0,00010181
HLA-B39:05;0,00235100
HLA-B39:06;0,00414070
HLA-B39:07;0,00000930
HLA-B39:08;0,00029238
HLA-B39:09;0,00029623
HLA-B39:10;0,00129155
HLA-B39:11;0,00017880
HLA-B39:112;0,00000120
HLA-B39:12;0,00001784
HLA-B39:13;0,00003085
HLA-B39:14;0,00002055
HLA-B39:15;0,00008253
HLA-B39:16;0,00000056
HLA-B39:17;0,00000182
HLA-B39:18;0,00000012
HLA-B39:19;0,00000190
HLA-B39:20;0,00000770
HLA-B39:22;0,00000264
HLA-B39:23;0,00001062
HLA-B39:24;0,00040505
HLA-B39:25;0,00000519
HLA-B39:26;0,00000218
HLA-B39:27;0,00002287
HLA-B39:28;0,00002401
HLA-B39:29;0,00000067
HLA-B39:31;0,00021156
HLA-B39:33;0,00000008
HLA-B39:34;0,00000098
HLA-B39:35;0,00000028
HLA-B39:36;0,00000124
HLA-B39:37;0,00000104
HLA-B39:38;0,00000040
HLA-B39:39;0,00000184
HLA-B39:47;0,00000040
HLA-B39:49;0,00000062
HLA-B39:52;0,00000040
HLA-B39:54;0,00000015
HLA-B39:57;0,00000002
HLA-B39:64;0,00000002
HLA-B39:65;0,00000002
HLA-B39:99;0,00000034
HLA-B40:01;0,04094136
HLA-B40:02;0,02374601
HLA-B40:03;0,00044484
HLA-B40:04;0,00032632
HLA-B40:05;0,00181552
HLA-B40:06;0,00955770
HLA-B40:07;0,00000913
HLA-B40:08;0,00029947
HLA-B40:09;0,00000277
HLA-B40:10;0,00060923
HLA-B40:102;0,00000022
HLA-B40:105;0,00000002
HLA-B40:106;0,00000020
HLA-B40:107;0,00000008
HLA-B40:108;0,00000002
HLA-B40:11;0,00011397
HLA-B40:110;0,00000022
HLA-B40:111;0,00000006
HLA-B40:113;0,00000004
HLA-B40:114;0,00000004
HLA-B40:117;0,00000010
HLA-B40:119;0,00000110
HLA-B40:12;0,00010001
HLA-B40:121;0,00000001
HLA-B40:122;0,00000040
HLA-B40:123;0,00000016
HLA-B40:124;0,00000040
HLA-B40:126;0,00000157
HLA-B40:128;0,00000010
HLA-B40:129;0,00000202
HLA-B40:13;0,00000054
HLA-B40:130;0,00000006
HLA-B40:134;0,00000022
HLA-B40:135;0,00000002
HLA-B40:136;0,00000014
HLA-B40:137;0,00000006
HLA-B40:14;0,00001499
HLA-B40:140;0,00000001
HLA-B40:146;0,00000010
HLA-B40:148;0,00000022
HLA-B40:15;0,00000004
HLA-B40:153;0,00000004
HLA-B40:157;0,00000020
HLA-B40:158;0,00000006
HLA-B40:16;0,00002885
HLA-B40:160;0,00000002
HLA-B40:162;0,00000012
HLA-B40:172;0,00000002
HLA-B40:18;0,00000232
HLA-B40:19;0,00000405
HLA-B40:197;0,00000002
HLA-B40:20;0,00001437
HLA-B40:200;0,00000002
HLA-B40:21;0,00000219
HLA-B40:22;0,00000002
HLA-B40:229;0,00000208
HLA-B40:23;0,00004931
HLA-B40:241;0,00000104
HLA-B40:25;0,00000050
HLA-B40:26;0,00000809
HLA-B40:27;0,00006028
HLA-B40:28;0,00000020
HLA-B40:287;0,00000120
HLA-B40:295;0,00000034
HLA-B40:30;0,00000062
HLA-B40:31;0,00000045
HLA-B40:32;0,00000161
HLA-B40:33;0,00000072
HLA-B40:34;0,00000002
HLA-B40:346;0,00000002
HLA-B40:35;0,00001597
HLA-B40:356;0,00000120
HLA-B40:36;0,00000314
HLA-B40:37;0,00000122
HLA-B40:38;0,00000234
HLA-B40:39;0,00000189
HLA-B40:40;0,00002742
HLA-B40:42;0,00000401
HLA-B40:43;0,00000347
HLA-B40:44;0,00000032
HLA-B40:45;0,00000020
HLA-B40:46;0,00000001
HLA-B40:47;0,00000004
HLA-B40:48;0,00000070
HLA-B40:49;0,00000632
HLA-B40:50;0,00001878
HLA-B40:51;0,00000097
HLA-B40:52;0,00000126
HLA-B40:53;0,00001014
HLA-B40:58;0,00000099
HLA-B40:59;0,00000001
HLA-B40:60;0,00000105
HLA-B40:63;0,00000042
HLA-B40:64;0,00000171
HLA-B40:65;0,00000014
HLA-B40:67;0,00000008
HLA-B40:70;0,00000349
HLA-B40:71;0,00000396
HLA-B40:72;0,00000006
HLA-B40:73;0,00000012
HLA-B40:74;0,00000101
HLA-B40:76;0,00000040
HLA-B40:78;0,00000032
HLA-B40:79;0,00000049
HLA-B40:80;0,00000111
HLA-B40:83;0,00000010
HLA-B40:87;0,00000002
HLA-B40:88;0,00000040
HLA-B40:89;0,00000055
HLA-B40:90;0,00000030
HLA-B40:94;0,00000044
HLA-B40:95;0,00000030
HLA-B40:99;0,00000054
HLA-B41:01;0,01287421
HLA-B41:02;0,00728681
HLA-B41:03;0,00003775
HLA-B41:04;0,00000042
HLA-B41:05;0,00000006
HLA-B41:06;0,00000150
HLA-B41:07;0,00001936
HLA-B41:09;0,00000014
HLA-B41:10;0,00000002
HLA-B41:11;0,00000002
HLA-B41:14;0,00000227
HLA-B41:15;0,00000001
HLA-B41:16;0,00000005
HLA-B41:18;0,00000102
HLA-B42:01;0,00556475
HLA-B42:02;0,00081202
HLA-B42:04;0,00000079
HLA-B42:05;0,00000373
HLA-B42:06;0,00000081
HLA-B42:07;0,00000101
HLA-B42:08;0,00000022
HLA-B42:09;0,00000024
HLA-B42:10;0,00000016
HLA-B42:11;0,00000010
HLA-B42:12;0,00000010
HLA-B42:13;0,00000012
HLA-B42:14;0,00000010
HLA-B42:15;0,00000010
HLA-B42:16;0,00000010
HLA-B42:17;0,00000010
HLA-B42:18;0,00000010
HLA-B42:19;0,00000010
HLA-B42:20;0,00000010
HLA-B44:02;0,03218449
HLA-B44:03;0,04789711
HLA-B44:04;0,00014336
HLA-B44:05;0,00190852
HLA-B44:06;0,00004132
HLA-B44:07;0,00000976
HLA-B44:08;0,00001009
HLA-B44:09;0,00001434
HLA-B44:10;0,00013885
HLA-B44:103;0,00000006
HLA-B44:104;0,00000002
HLA-B44:107;0,00000002
HLA-B44:108;0,00000007
HLA-B44:11;0,00000146
HLA-B44:111;0,00000001
HLA-B44:114;0,00000001
HLA-B44:115;0,00000002
HLA-B44:12;0,00000021
HLA-B44:120;0,00000059
HLA-B44:121;0,00000020
HLA-B44:122;0,00000002
HLA-B44:126;0,00000020
HLA-B44:13;0,00000160
HLA-B44:14;0,00001622
HLA-B44:146;0,00000002
HLA-B44:15;0,00002734
HLA-B44:16;0,00000064
HLA-B44:166;0,00000002
HLA-B44:17;0,00000375
HLA-B44:18;0,00000343
HLA-B44:197;0,00000034
HLA-B44:20;0,00000123
HLA-B44:21;0,00001009
HLA-B44:22;0,00000005
HLA-B44:23;0,00000029
HLA-B44:24;0,00001629
HLA-B44:25;0,00000204
HLA-B44:259;0,00000002
HLA-B44:26;0,00000086
HLA-B44:27;0,00039610
HLA-B44:28;0,00002493
HLA-B44:29;0,00002769
HLA-B44:30;0,00000624
HLA-B44:31;0,00000097
HLA-B44:32;0,00000006
HLA-B44:33;0,00000040
HLA-B44:34;0,00000042
HLA-B44:35;0,00001237
HLA-B44:36;0,00000023
HLA-B44:37;0,00000033
HLA-B44:38;0,00000885
HLA-B44:39;0,00000040
HLA-B44:40;0,00000001
HLA-B44:41;0,00000007
HLA-B44:42;0,00000014
HLA-B44:43;0,00000023
HLA-B44:45;0,00000004
HLA-B44:47;0,00000022
HLA-B44:48;0,00000004
HLA-B44:50;0,00000134
HLA-B44:51;0,00000062
HLA-B44:53;0,00000001
HLA-B44:54;0,00000001
HLA-B44:55;0,00000001
HLA-B44:56;0,00000004
HLA-B44:57;0,00000002
HLA-B44:59;0,00000091
HLA-B44:60;0,00000028
HLA-B44:62;0,00000002
HLA-B44:63;0,00000001
HLA-B44:64;0,00000043
HLA-B44:65;0,00000002
HLA-B44:67;0,00000004
HLA-B44:68;0,00000002
HLA-B44:74;0,00000009
HLA-B44:76;0,00000029
HLA-B44:77;0,00000004
HLA-B44:79;0,00000090
HLA-B44:80;0,00000004
HLA-B44:82;0,00000008
HLA-B44:83;0,00000114
HLA-B44:84;0,00000014
HLA-B44:86;0,00000032
HLA-B44:87;0,00000006
HLA-B44:88;0,00000008
HLA-B44:89;0,00000002
HLA-B44:91;0,00000004
HLA-B44:92;0,00000003
HLA-B44:95;0,00000002
HLA-B44:96;0,00000004
HLA-B45:01;0,00793582
HLA-B45:02;0,00000279
HLA-B45:03;0,00002427
HLA-B45:04;0,00000016
HLA-B45:06;0,00000008
HLA-B46:01;0,01804150
HLA-B46:02;0,00000457
HLA-B46:03;0,00000004
HLA-B46:04;0,00000024
HLA-B46:05;0,00000004
HLA-B46:06;0,00000004
HLA-B46:07;0,00000026
HLA-B46:08;0,00000054
HLA-B46:09;0,00000024
HLA-B46:10;0,00000004
HLA-B46:11;0,00000162
HLA-B46:12;0,00000004
HLA-B46:13;0,00000220
HLA-B46:14;0,00000004
HLA-B46:16;0,00000004
HLA-B46:17;0,00000024
HLA-B46:18;0,00000004
HLA-B46:19;0,00000004
HLA-B46:20;0,00000164
HLA-B46:21;0,00000014
HLA-B46:22;0,00000050
HLA-B46:23;0,00000004
HLA-B46:25;0,00000004
HLA-B46:26;0,00000004
HLA-B46:27;0,00000004
HLA-B46:29;0,00000104
HLA-B47:01;0,00168486
HLA-B47:02;0,00001642
HLA-B47:03;0,00010373
HLA-B47:04;0,00000032
HLA-B47:05;0,00000076
HLA-B47:06;0,00000023
HLA-B47:07;0,00000034
HLA-B47:08;0,00000024
HLA-B47:09;0,00000022
HLA-B48:01;0,00929291
HLA-B48:02;0,00015677
HLA-B48:03;0,00058091
HLA-B48:04;0,00013513
HLA-B48:05;0,00000489
HLA-B48:06;0,00000083
HLA-B48:07;0,00002620
HLA-B48:08;0,00000126
HLA-B48:10;0,00000027
HLA-B48:11;0,00000905
HLA-B48:12;0,00000165
HLA-B48:13;0,00000152
HLA-B48:14;0,00000025
HLA-B48:15;0,00000045
HLA-B48:16;0,00000035
HLA-B48:17;0,00000023
HLA-B48:18;0,00000023
HLA-B48:19;0,00000023
HLA-B48:20;0,00000023
HLA-B48:21;0,00000023
HLA-B48:22;0,00000023
HLA-B48:23;0,00000023
HLA-B48:24;0,00000063
HLA-B48:25;0,00000023
HLA-B48:26;0,00000023
HLA-B49:01;0,02067150
HLA-B49:02;0,00000249
HLA-B49:05;0,00000002
HLA-B49:10;0,00000026
HLA-B50:01;0,01844362
HLA-B50:02;0,00120545
HLA-B50:04;0,00001050
HLA-B50:05;0,00000088
HLA-B50:07;0,00000006
HLA-B50:08;0,00000004
HLA-B50:09;0,00000002
HLA-B50:12;0,00000024
HLA-B51:01;0,05560525
HLA-B51:02;0,00336445
HLA-B51:03;0,00000432
HLA-B51:04;0,00002082
HLA-B51:05;0,00024869
HLA-B51:06;0,00313969
HLA-B51:07;0,00057303
HLA-B51:08;0,00277696
HLA-B51:09;0,00013782
HLA-B51:10;0,00009156
HLA-B51:100;0,00000006
HLA-B51:102;0,00000002
HLA-B51:103;0,00000020
HLA-B51:105;0,00000006
HLA-B51:107;0,00000006
HLA-B51:109;0,00000002
HLA-B51:12;0,00000790
HLA-B51:122;0,00000002
HLA-B51:13;0,00001216
HLA-B51:14;0,00001511
HLA-B51:148;0,00000120
HLA-B51:15;0,00000092
HLA-B51:152;0,00000299
HLA-B51:16;0,00000029
HLA-B51:17;0,00000048
HLA-B51:179;0,00000002
HLA-B51:18;0,00000109
HLA-B51:19;0,00000794
HLA-B51:193;0,00000295
HLA-B51:20;0,00000801
HLA-B51:208;0,00000034
HLA-B51:21;0,00005915
HLA-B51:22;0,00001451
HLA-B51:23;0,00000062
HLA-B51:24;0,00000031
HLA-B51:26;0,00000138
HLA-B51:27;0,00000109
HLA-B51:28;0,00000017
HLA-B51:29;0,00002285
HLA-B51:31;0,00000204
HLA-B51:32;0,00000097
HLA-B51:33;0,00000014
HLA-B51:34;0,00000172
HLA-B51:36;0,00000243
HLA-B51:37;0,00000596
HLA-B51:38;0,00000016
HLA-B51:39;0,00000010
HLA-B51:40;0,00000176
HLA-B51:41;0,00000002
HLA-B51:42;0,00000175
HLA-B51:43;0,00000068
HLA-B51:44;0,00000002
HLA-B51:46;0,00000028
HLA-B51:49;0,00000014
HLA-B51:50;0,00000034
HLA-B51:53;0,00000018
HLA-B51:54;0,00000014
HLA-B51:55;0,00000104
HLA-B51:56;0,00000007
HLA-B51:61;0,00000012
HLA-B51:63;0,00000310
HLA-B51:64;0,00000072
HLA-B51:65;0,00000332
HLA-B51:66;0,00000002
HLA-B51:67;0,00000024
HLA-B51:68;0,00000044
HLA-B51:69;0,00000016
HLA-B51:70;0,00000020
