Allele;Frequency
HLA-A02:44;0,00000985
HLA-A02:448;0,00000101
HLA-A02:45;0,00000336
HLA-A02:46;0,00000866
HLA-A02:47;0,00000150
HLA-A02:48;0,00000235
HLA-A02:49;0,00000340
HLA-A02:50;0,00000087
HLA-A02:51;0,00000178
HLA-A02:52;0,00000170
HLA-A02:53;0,00001405
HLA-A02:54;0,00000146
HLA-A02:548;0,00000121
HLA-A02:55;0,00000417
HLA-A02:56;0,00000066
HLA-A02:57;0,00000022
HLA-A02:58;0,00000308
HLA-A02:59;0,00000002
HLA-A02:60;0,00004317
HLA-A02:61;0,00000012
HLA-A02:62;0,00000008
HLA-A02:63;0,00000085
HLA-A02:64;0,00000720
HLA-A02:648;0,00000002
HLA-A02:65;0,00000000
HLA-A02:669;0,00000121
HLA-A02:67;0,00000010
HLA-A02:68;0,00000001
HLA-A02:680;0,00000121
HLA-A02:695;0,00000002
HLA-A02:707;0,00000002
HLA-A02:73;0,00000004
HLA-A02:74;0,00000136
HLA-A02:76;0,00000087
HLA-A02:77;0,00000002
HLA-A02:79;0,00000022
HLA-A02:796;0,00000002
HLA-A02:80;0,00000006
HLA-A02:81;0,00000001
HLA-A02:84;0,00000225
HLA-A02:85;0,00002231
HLA-A02:86;0,00000152
HLA-A02:87;0,00000199
HLA-A02:88;0,00000002
HLA-A02:90;0,00000099
HLA-A02:92;0,00000006
HLA-A02:93;0,00001329
HLA-A02:94;0,00000004
HLA-A02:95;0,00000040
HLA-A02:96;0,00000030
HLA-A03:01;0,06349871
HLA-A03:02;0,02085581
HLA-A03:03;0,00000000
HLA-A03:04;0,00009634
HLA-A03:05;0,00002452
HLA-A03:06;0,00000056
HLA-A03:07;0,00000879
HLA-A03:08;0,00001512
HLA-A03:09;0,00000362
HLA-A03:10;0,00000135
HLA-A03:100;0,00000001
HLA-A03:102;0,00000002
HLA-A03:103;0,00000001
HLA-A03:105;0,00000002
HLA-A03:106;0,00000004
HLA-A03:107;0,00000022
HLA-A03:108;0,00000014
HLA-A03:111;0,00000002
HLA-A03:12;0,00000520
HLA-A03:120;0,00000002
HLA-A03:123;0,00000109
HLA-A03:124;0,00000002
HLA-A03:13;0,00000012
HLA-A03:14;0,00000048
HLA-A03:144;0,00000002
HLA-A03:15;0,00000019
HLA-A03:157;0,00000002
HLA-A03:16;0,00000100
HLA-A03:17;0,00000002
HLA-A03:18;0,00000007
HLA-A03:19;0,00000123
HLA-A03:20;0,00000516
HLA-A03:202;0,00000071
HLA-A03:22;0,00000120
HLA-A03:224;0,00000101
HLA-A03:23;0,00000003
HLA-A03:24;0,00000051
HLA-A03:25;0,00000114
HLA-A03:266;0,00000004
HLA-A03:27;0,00000002
HLA-A03:279;0,00000121
HLA-A03:28;0,00000004
HLA-A03:29;0,00000003
HLA-A03:30;0,00000006
HLA-A03:31;0,00000002
HLA-A03:32;0,00000006
HLA-A03:33;0,00000262
HLA-A03:38;0,00000002
HLA-A03:42;0,00001000
HLA-A03:46;0,00000003
HLA-A03:47;0,00000008
HLA-A03:48;0,00000033
HLA-A03:49;0,00000004
HLA-A03:50;0,00001019
HLA-A03:51;0,00000008
HLA-A03:53;0,00000004
HLA-A03:56;0,00000004
HLA-A03:59;0,00000004
HLA-A03:63;0,00000002
HLA-A03:64;0,00000001
HLA-A03:65;0,00000099
HLA-A03:66;0,00000000
HLA-A03:69;0,00000095
HLA-A03:73;0,00000006
HLA-A03:74;0,00000039
HLA-A03:77;0,00000001
HLA-A03:79;0,00000001
HLA-A03:81;0,00000024
HLA-A03:86;0,00000002
HLA-A03:87;0,00000002
HLA-A03:88;0,00000001
HLA-A03:89;0,00000006
HLA-A03:97;0,00000419
HLA-A03:98;0,00000002
HLA-A11:01;0,08576013
HLA-A11:02;0,00360746
HLA-A11:03;0,00009536
HLA-A11:04;0,00024908
HLA-A11:05;0,00001501
HLA-A11:06;0,00001446
HLA-A11:07;0,00000022
HLA-A11:08;0,00000420
HLA-A11:09;0,00002546
HLA-A11:10;0,00001125
HLA-A11:11;0,00000925
HLA-A11:117;0,00000002
HLA-A11:12;0,00004471
HLA-A11:122;0,00000101
HLA-A11:13;0,00000024
HLA-A11:14;0,00000034
HLA-A11:15;0,00000034
HLA-A11:150;0,00000002
HLA-A11:16;0,00000010
HLA-A11:160;0,00000002
HLA-A11:17;0,00000006
HLA-A11:18;0,00000185
HLA-A11:19;0,00000528
HLA-A11:20;0,00000286
HLA-A11:22;0,00000018
HLA-A11:221;0,00000004
HLA-A11:23;0,00000006
HLA-A11:24;0,00000186
HLA-A11:25;0,00000028
HLA-A11:263;0,00000210
HLA-A11:29;0,00000166
HLA-A11:30;0,00000032
HLA-A11:31;0,00000004
HLA-A11:32;0,00000010
HLA-A11:35;0,00000012
HLA-A11:37;0,00000051
HLA-A11:38;0,00000010
HLA-A11:39;0,00000051
HLA-A11:40;0,00000121
HLA-A11:43;0,00000101
